"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial"
"X00a26384.1b1c.4db4.9664.75fb9b3febdb",0.104583014924488,0.123187653402256,0.00661415223882863,0.00329427959846279,0.0011649322091875,0.0101341074552214,0.674389411854249,2.75379601429397e-05,0.0766049103571649
"X01661d94.fc16.4456.95cf.a5fa4e1e196c",0.0999764490050693,0.207176819133795,0.0561416711367806,8.36826309304565e-07,7.11321859920834e-07,0.00198855986091495,0.131439580210055,4.9722764663776e-07,0.50327487527757
"X01900aab.4c12.4198.b41f.ff638e5abe3b",0.0981829522811338,0.17056426148237,1.05716797690353e-05,0.000995502213510347,3.33142016951271e-07,0.00439880821884882,0.580938041173327,5.77993490101035e-06,0.144903749874123
"X01ae5613.1c58.4d02.8fd3.47d35d71c22d",0.108590371917583,0.185305310623491,0.00220068314424765,0.00218821338384894,5.63243766292971e-07,0.0172196361791012,0.269593695599401,1.50266639889295e-06,0.414900023242162
"X01f6286b.8422.4f16.bec3.871c86396790",0.0473458054000273,0.0864640044151799,3.89902329657433e-07,9.43134374315027e-06,9.67393431647794e-07,0.0620501307570205,0.434091092970382,0.0348270178668909,0.335211159950995
"X021d9e06.9d27.400c.8776.08e89c817b46",0.0776248974150855,0.247571106043579,5.20659545340595e-07,0.0023742701175692,0.0488752744063844,0.108551538864319,0.232812527504489,0.0170691389920231,0.265120725997005
"X02423743.43b4.494b.acd9.1cd3bcd3d395",0.0528231272474274,0.163788002542695,0.0323972852601195,1.97644844762756e-05,0.0198983385198297,0.0360520102550943,0.372792411534513,0.000121853712474899,0.32210720644337
"X02a4ccea.1464.4664.bc44.bb6569a34608",0.0391008450876485,0.237806977161025,1.06959297289206e-06,1.05917405648733e-06,0.0634737385949632,0.00874738682910213,0.391708118119472,5.47512404900905e-07,0.259160257928355
"X02a50d1b.ff62.4936.a0ce.ac0e22a5b41c",0.0968951571490472,0.0350961844582475,0.0632308935828288,0.0316517178594661,0.076257505669719,0.0207421905605171,0.364017669142771,3.34412512734802e-07,0.31210834716489
"X02bbe1b1.44ff.426b.a40e.47a01bc4cf7d",0.215068804317279,0.186287472599413,0.0615649706817779,0.0684521140072003,0.0693405805956229,0.144180195186762,0.153082544526103,0.0147088398950452,0.0873144781907964
"X032e5aa7.8028.48ad.8fe4.6a5cc6aee5cb",0.0873251813413177,0.236571165991744,2.74629227022062e-07,0.00838209270051214,4.22024599913762e-07,0.0268626728751872,0.0609706984130826,0.012426265792253,0.567461226232076
"X034f8d01.f664.494b.bc04.77485000611f",0.113828870344846,0.284369157162881,0.0201045406418639,0.0254313980222308,0.0164876619681007,0.0144866247957623,0.392924580782678,2.63979396007399e-07,0.132366902302241
"X0361ec21.e83f.40a9.b825.d92487b1239a",0.0914525527517111,0.0863399681293717,0.0415202101672509,2.91966359594221e-06,0.105596538890791,0.00285516294385701,0.267896509679229,0.00450406852880496,0.399832069245389
"X0394cdb2.85e8.4cea.b572.4cb4ed779774",0.12508280968209,0.32982098600267,3.81989852431593e-07,0.0156529224168335,8.71523192790391e-07,0.041421372072963,0.409175545720539,9.40646948365211e-08,0.0788450165271642
"X039eaafb.c311.45ff.9df7.30c1b0bab00a",0.0763611742839067,0.41381372140566,0.0277733377667835,0.00350262604698571,4.5604357001243e-07,0.00821347343136507,0.327020761196798,2.25521404070894e-07,0.143314224303526
"X03d891b3.8faf.4384.94ce.2015f1ca5df0",0.034124398773917,0.0148191580765082,0.59264777429167,7.70616162652761e-08,0.0949159498808342,0.0921954937319717,0.149521626606603,9.33826737896504e-08,0.0217754281942064
"X04026251.0cf6.4889.83b4.8a46881470b5",0.0654142542565207,0.172201398247649,0.0390186887434981,0.00516371480986884,0.0012322914614102,0.00900916677020514,0.413696868143101,2.68115860212683e-07,0.294263349451887
"X040e40de.4c19.423f.98dc.151e2633d085",0.0606021767820575,0.253849589719915,0.102564156518842,0.00389389714200447,0.0171107262023578,0.0105245175390984,0.230665443604405,0.00040498486052564,0.320384507630794
"X046c3754.b22c.4bce.93c7.29b9da173d33",0.0754799013472916,0.0606960287158532,0.0443325873772982,0.00266353994294434,0.065465266268375,0.0319103621015945,0.115350806412909,0.000257667452181898,0.603843840381552
"X04c428b5.d0b9.4ecf.86e8.8a42dc4cbb5e",0.136626698774996,0.217459537650436,0.0165875468041507,0.00517768493409739,0.00365782832191948,0.0141812496122874,0.483117095059722,3.69834466421958e-07,0.123191989007925
"X04de1f79.fdfc.4662.bab2.a3ed667c7dea",0.0246043749947205,0.326585686270174,4.9870620243963e-07,0.0115563595663794,7.20885898137659e-07,0.0460671802316812,0.409888525466177,7.73500509669535e-07,0.181295880378258
"X04ed1bfb.533f.4d97.a7e4.3e7bab103485",0.0615754693728883,0.229252218165895,0.123425080741995,0.00114479380005097,0.022903299874265,0.0123099975031994,0.238577030002858,1.28683296143811e-07,0.310811981855553
"X053442de.6d8a.4811.b03c.be1c7a3f207c",0.0532926571894383,0.00585226317327545,0.0693599433532356,3.95494042486852e-07,5.85536129125167e-06,1.59972657198084e-06,0.602666316297224,0.000199867201881,0.26862110220304
"X0557d817.20e0.496f.840a.7a15d6da1694",0.404600253278092,0.280767494167096,0.000219327873173995,6.52243786901208e-07,2.80271264541441e-07,0.0131103707342752,0.301301148773483,2.18036231913919e-07,2.54622596901761e-07
"X05b55f88.290a.4abd.bbc3.44561ba1f8b7",0.228063872635558,0.26061382990165,0.0175316212558293,4.60542086244672e-06,6.75756834456702e-07,0.00949427821035055,0.272572513191222,2.64424026168617e-07,0.211718339203667
"X05ddce6e.57b0.4b78.9955.7c1b4c564498",0.114961574066404,0.128789141184501,1.56154293886382e-06,0.00314170889982719,4.92171021187557e-07,0.0134318221450255,0.710889615957534,3.08555180996066e-05,0.0287532285146489
"X05e15869.61fd.420f.b0e4.a2faaa814aca",0.176551955955083,0.290859081193723,0.00461779404709879,0.0099107875595804,0.001048798025369,0.0305086236365642,0.351570217380654,3.3522697562042e-07,0.134932406974952
"X05ea028e.6b8a.4352.88aa.057494cf5e80",0.0780987532224618,0.239666226936197,5.83288165870434e-07,0.0171740103443991,0.0168897088161742,0.044626901583698,0.334299502199818,0.00598215008449986,0.263262163524586
"X05ebe1e0.bf0d.4622.bc45.b0eacffdebcc",0.208684714375465,0.130165368332197,4.53977932073071e-05,0.0161923468562752,7.27060021208995e-05,0.0133625119650384,0.631476059339117,3.744970303945e-07,5.2083954952903e-07
"X05f4836a.8db8.4dbc.a996.090887bf8a64",0.210613991401413,0.238979186749055,3.20710780349463e-06,0.0101174011907544,2.25896543893588e-07,0.00599128902163148,0.53429442146861,1.19806516643461e-07,1.57357672715059e-07
"X0631de29.6e9a.4928.ab8a.c76bd44dbd45",0.186745168683644,0.200648993059031,1.16573787490443e-05,0.0148274738375164,0.00203289539307028,0.0128619807030019,0.582117577837235,0.000656859038816394,9.73940689352391e-05
"X0633890f.584c.43d9.aa3f.7a6555533dd8",0.0752473808481942,0.10298962980464,0.108805456192406,0.00491591323791884,3.18782305295287e-07,0.0105825110221018,0.218409333044509,0.000919016125857977,0.478130440942066
"X063a4886.ee4d.43a9.95c1.25a0c0b2d85d",0.0523530307623246,0.100493578307463,1.13099816828106e-05,0.0457170279376666,8.99650175595008e-05,0.00641564583448048,0.60043785753879,3.47167342920456e-07,0.19448123745269
"X064d1578.9fb7.439c.9644.d4cb6389ec9d",0.226192692847174,0.139600514986681,0.00158230339720675,0.000875150246425901,3.71834850232685e-07,0.00375137877688073,0.627996859917473,3.5074836508888e-07,3.77244943238018e-07
"X06a03e45.7315.4a8d.9fef.d841a4a8043c",0.126913262229784,0.148012403838841,8.87990073836087e-06,0.000205429282392009,0.00124300853985712,0.103580110722392,0.517716767783057,0.0223867296764685,0.0799334080264699
"X06ae7b4d.2906.4a38.a4ef.1cc937716dcb",0.126593567925691,0.191428250487906,1.21941353651694e-06,0.00825630493643149,6.7314291575041e-07,0.00735135047478446,0.490886886249138,1.14021781976013e-05,0.1754703451914
"X06ce7b93.1264.4219.8a2f.d8f0d295e45f",0.126974489709784,0.296647908333796,1.5053715367554e-05,0.0128999143173319,5.54423342938683e-07,0.00526646081033174,0.459986483976352,4.70702421374035e-07,0.0982086640112723
"X071e21e7.a494.4d87.ab48.1cb334e0d992",0.0897574563676917,0.136091572600997,0.028054881702544,0.0571404240282738,0.0298947782530883,0.0636522160633884,0.535199939743378,0.0141327937230649,0.0460759375175733
"X073939c1.c857.4340.8a5f.a7b87d2349c3",0.152329811233899,0.22199786698187,0.0230349903620881,0.0271987681437885,0.0349855343858918,0.0900316810027466,0.126145844739736,0.000270217152536028,0.324005285997444
"X0781a18f.ce2a.478f.945e.49b2b8d7d941",0.0636607497410012,0.31287525069667,0.00638734922320016,4.23911800348334e-07,3.57839204031492e-07,0.0181459123269004,0.0229162705752029,0.00303610059631397,0.572977585089707
"X078420d8.5079.4a98.81d7.3a4b84e9d0ad",0.156285535896749,0.157797340357592,0.0227190168759358,0.117176606836115,0.0477118037589299,0.0298029389148694,0.468502174622767,5.90702846751404e-07,3.99203419514942e-06
"X078f6959.adcf.44a5.91d2.2581ba3c8e62",0.2493284039026,0.146803079365159,0.0187473263401658,0.0189935776433934,0.00509927248937562,0.00857420908685024,0.55244791209641,2.23439896369904e-07,5.9956361497423e-06
"X07aa7c0a.ef47.495a.93be.b23a799d71d8",0.129020645567062,0.0657761824993978,0.00715030398799342,7.66030220670764e-07,0.025374734505404,0.0835488494244492,0.461893283491915,0.115328813748864,0.111906420744694
"X081b4937.85e7.44b3.9124.a612f4f2e0ca",0.100846102363524,0.0909780152215926,0.0163532276846751,0.0414018474623163,0.0402444115464684,0.0492496916858836,0.0668341926250186,0.00769071664179394,0.586401794768728
"X083eb05f.0af4.4f73.bf09.3806eb3b71bb",0.0881187084052715,0.290995522761873,0.00158802268940411,0.0151078110351305,0.0127597166044139,0.0749833898400517,0.0891423836379837,1.53541170676616e-06,0.427302909614165
"X08429604.2dc7.4827.8ba5.80818aa45a51",0.216124991908965,0.366185310460703,2.17563476893002e-06,0.033867368133307,0.0130051132460859,0.0303930592055431,0.340375486824115,2.25551197477798e-06,4.42390745385393e-05
"X08814ce5.fdf0.4f06.aabd.bf7b2738cf43",0.068465638314762,0.295299312440742,1.06837461274474e-06,4.49598336788657e-07,0.00512430095326475,0.0479821615137012,0.191484369723417,0.0799755899849656,0.311667109096199
